"Continent","Year","Rate","Prop"
"Oceania",2018,833.635656655228,0.141634281910404
"Oceania",2019,822.962752795647,0.141569623744589
"South America",1990,364.072200844243,0.049863409388097
"South America",1991,368.249737386605,0.0502327825733225
"South America",1992,370.720732995497,0.0501868467463352
"South America",1993,385.320524431117,0.051454578773387
"South America",1994,380.795069017944,0.0504155733739663
"South America",1995,373.024973804713,0.0491867931400033
"South America",1996,376.004342755143,0.0500182453511256
"South America",1997,379.547476573666,0.0506392292971365
"South America",1998,395.691099919661,0.0529510945821015
"South America",1999,401.22597401287,0.0541116865962765
"South America",2000,385.244211756482,0.0526521842048748
"South America",2001,394.961977275682,0.0545656532085539
"South America",2002,404.612067103051,0.0565418654702957
"South America",2003,405.727884594271,0.0573770614176049
"South America",2004,405.275322207844,0.0580684583088043
"South America",2005,397.21012621315,0.0575457503182459
"South America",2006,397.151922286913,0.0582933983210402
"South America",2007,401.788339809375,0.0596164277324494
"South America",2008,401.142199253396,0.0603124807525021
"South America",2009,403.303129024777,0.061640259607156
"South America",2010,405.749373180625,0.0629622967670331
"South America",2011,402.912555798852,0.0634133075893257
"South America",2012,400.576898732395,0.0640203800726363
"South America",2013,396.327515551031,0.0642560370270408
"South America",2014,393.983781963104,0.0645992751744906
"South America",2015,393.981376521634,0.0649349836617379
"South America",2016,394.43150512757,0.0657503633422435
"South America",2017,390.950945931534,0.0658390927709927
"South America",2018,384.569290949349,0.0653381305532747
"South America",2019,374.888255006252,0.064489904345257
